item_code,name,description,status,is_rentable,category,cost_code,item_unit
269214STDFJ,2 x 6 FJ STUD 92-1/4,2 x 6 FJ STUD 92-1/4,1,0,Stud,2/06/10,ea
2610414STDFJ,2 x 6 FJ STUD 104-1/4,2 x 6 FJ STUD 104-1/4,1,0,Stud,2/06/10,ea
2611614STDFJ,2 x 6 FJ STUD 116-1/4,2 x 6 FJ STUD 116-1/4,1,0,Stud,2/06/10,ea
1208PT,1 X 2 - 08 TREATED LUMBER BROWN,1 X 2 - 08 TREATED LUMBER BROWN,1,0,Treated,2/06/10,ea
1208PT,1 X 4 - 08 TREATED LUMBER BROWN,1 X 4 - 08 TREATED LUMBER BROWN,1,0,Treated,2/06/10,ea
1608PT,1 X 6 - 08 TREATED LUMBER BROWN,1 X 6 - 08 TREATED LUMBER BROWN,1,0,Treated,2/06/10,ea
2208PT,2 X 2 - 08 TREATED LUMBER BROWN,2 X 2 - 08 TREATED LUMBER BROWN,1,0,Treated,2/06/10,ea
2808PT,2 X 8 - 08 TREATED LUMBER BROWN,2 X 8 - 08 TREATED LUMBER BROWN,1,0,Treated,2/06/10,ea
2810PT,2 X 8 - 10 TREATED LUMBER BROWN,2 X 8 - 10 TREATED LUMBER BROWN,1,0,Treated,2/06/10,ea
2812PT,2 X 8 - 12 TREATED LUMBER BROWN,2 X 8 - 12 TREATED LUMBER BROWN,1,0,Treated,2/06/10,ea
2814PT,2 X 8 - 14 TREATED LUMBER BROWN,2 X 8 - 14 TREATED LUMBER BROWN,1,0,Treated,2/06/10,ea
